"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"CG8026","FBgn0033391","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG8028","FBgn0031010","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG8034","FBgn0031011","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG8046","FBgn0033388","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG8051","FBgn0031012","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG8083","FBgn0025709","Secondary Transporter","The Concentrative Nucleoside Transporter (CNT) Family","",""
"CG8177","FBgn0036043","Secondary Transporter","The Anion Exchanger (AE) Family","",""
"CG8195","FBgn0034032","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"CG8249","FBgn0034045","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG8323","FBgn0033903","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG8389","FBgn0034063","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG8468","FBgn0033913","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG8596","FBgn0035767","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG8602","FBgn0035763","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG8654","FBgn0034479","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG8713","FBgn0033257","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"CG8785","FBgn0033760","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG8837","FBgn0031520","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG8850","FBgn0033708","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"CG8908","FBgn0034493","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG8916","FBgn0030707","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"CG8925","FBgn0038404","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG9090","FBgn0034497","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG9194","FBgn0035192","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"CG9254","FBgn0028513","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG9270","FBgn0032908","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG9317","FBgn0032879","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG9413","FBgn0030574","Secondary Transporter","The Amino Acid-Polyamine-Organocation (APC) Family","",""
"CG9444","FBgn0037730","Secondary Transporter","The Proton-dependent Oligopeptide Transporter (POT) Family","",""
"CG9582","FBgn0032090","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG9657","FBgn0029950","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"CG9663","FBgn0031516","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG9664","FBgn0031515","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG9702","FBgn0039787","Secondary Transporter","The Sulfate Permease (SulP) Family","",""
"CG9706","FBgn0036662","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG9717","FBgn0039789","Secondary Transporter","The Sulfate Permease (SulP) Family","",""
"CG9825","FBgn0034783","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG9826","FBgn0034784","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG9864","FBgn0034490","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG9903","FBgn0030756","Secondary Transporter","The Bile Acid:Na+ Symporter (BASS) Family","",""
"CG9935","FBgn0039916","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"CG9981","FBgn0030746","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"CG9990","FBgn0039594","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CheB42a","FBgn0053348","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ClC-a","FBgn0051116","Secondary Transporter","The Chloride Carrier/Channel (ClC) Family","",""
"ClC-b","FBgn0033755","Secondary Transporter","The Chloride Carrier/Channel (ClC) Family","",""
"ClC-c","FBgn0036566","Secondary Transporter","The Chloride Carrier/Channel (ClC) Family","",""
"Clic","FBgn0030529","Ion Channels","The Intracellular Chloride Channel (CLIC) Family","",""
"clumsy","FBgn0026255","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"CngA","FBgn0261612","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"CngB","FBgn0266346","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Cngl","FBgn0263257","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"CNT1","FBgn0033371","Secondary Transporter","The Concentrative Nucleoside Transporter (CNT) Family","",""
"colt","FBgn0019830","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Csat","FBgn0024994","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"Ctr1A","FBgn0062413","Ion Channels","The Copper Transporter (Ctr) Family","",""
"Ctr1B","FBgn0062412","Ion Channels","The Copper Transporter (Ctr) Family","",""
"Ctr1C","FBgn0062411","Ion Channels","The Copper Transporter (Ctr) Family","",""
"DAT","FBgn0034136","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"Debcl","FBgn0029131","Ion Channels","The Bcl-2 (Bcl-2) Family","",""
"Dic1","FBgn0027610","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Dic2","FBgn0038797","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Dic3","FBgn0033248","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Dic4","FBgn0036808","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"dmGlut","FBgn0010497","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"dpn","FBgn0010109","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Drip","FBgn0015872","Ion Channels","The Major Intrinsic Protein (MIP) Family","",""
"E23","FBgn0020445","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"Eaat1","FBgn0026439","Secondary Transporter","The Dicarboxylate/Amino Acid:Cation (Na+ or H+) Symporter (DAACS) Family","",""
"Eaat2","FBgn0026438","Secondary Transporter","The Dicarboxylate/Amino Acid:Cation (Na+ or H+) Symporter (DAACS) Family","",""
"eag","FBgn0000535","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Efr","FBgn0029849","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"Elk","FBgn0011589","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Ent1","FBgn0031250","Secondary Transporter","The Equilibrative Nucleoside Transporter (ENT) Family","",""
"Ent2","FBgn0263916","Secondary Transporter","The Equilibrative Nucleoside Transporter (ENT) Family","",""
"Ent3","FBgn0036319","Secondary Transporter","The Equilibrative Nucleoside Transporter (ENT) Family","",""
"Esp","FBgn0013953","Secondary Transporter","The Sulfate Permease (SulP) Family","",""
"fabp","FBgn0037913","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"frc","FBgn0042641","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"Gat","FBgn0039915","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"gb","FBgn0039487","Secondary Transporter","The Amino Acid-Polyamine-Organocation (APC) Family","",""
"GC1","FBgn0260743","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"GC2","FBgn0037970","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"GluClalpha","FBgn0024963","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"GluRIA","FBgn0004619","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"GluRIB","FBgn0264000","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"GluRIIA","FBgn0004620","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"GluRIIB","FBgn0020429","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"GluRIIC","FBgn0046113","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"GluRIID","FBgn0028422","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"GluRIIE","FBgn0051201","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Glut1","FBgn0264574","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"Glut3","FBgn0015230","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"Grd","FBgn0001134","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"HisCl1","FBgn0037950","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"Hmt-1","FBgn0038376","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"hoe1","FBgn0041150","Secondary Transporter","The Arsenite-Antimonite (ArsB) Efflux Family","",""
"hoe2","FBgn0031649","Secondary Transporter","The Arsenite-Antimonite (ArsB) Efflux Family","",""
"iav","FBgn0086693","Ion Channels","The Transient Receptor Potential Ca2+ Channel (TRP-CC) Family","",""
"Indy","FBgn0036816","Secondary Transporter","The Divalent Anion:Na+ Symporter (DASS) Family","",""
"Indy-2","FBgn0260466","Secondary Transporter","The Divalent Anion:Na+ Symporter (DASS) Family","",""
"ine","FBgn0011603","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"Inx2","FBgn0027108","Ion Channels","The Gap Junction-forming Innexin (Innexin) Family","",""
"Inx3","FBgn0265274","Ion Channels","The Gap Junction-forming Innexin (Innexin) Family","",""
"Inx5","FBgn0030989","Ion Channels","The Gap Junction-forming Innexin (Innexin) Family","",""
"Inx6","FBgn0027107","Ion Channels","The Gap Junction-forming Innexin (Innexin) Family","",""
"Inx7","FBgn0027106","Ion Channels","The Gap Junction-forming Innexin (Innexin) Family","",""
"Ir21a","FBgn0031209","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir25a","FBgn0031634","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir31a","FBgn0051718","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir48c","FBgn0033651","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir75a","FBgn0036757","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir75b","FBgn0261402","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir75c","FBgn0261401","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir75d","FBgn0036829","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir76a","FBgn0260874","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir76b","FBgn0036937","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir7c","FBgn0029966","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir84a","FBgn0037501","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir8a","FBgn0052704","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Ir93a","FBgn0259215","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Irk1","FBgn0265042","Ion Channels","The Inward Rectifier K+ Channel (IRK-C) Family","",""
"Irk2","FBgn0039081","Ion Channels","The Inward Rectifier K+ Channel (IRK-C) Family","",""
"Irk3","FBgn0032706","Ion Channels","The Inward Rectifier K+ Channel (IRK-C) Family","",""
"Itp-r83A","FBgn0010051","Ion Channels","The Ryanodine-Inositol 1,4,5-triphosphate Receptor Ca2+ Channel (RIR-CaC) Family","",""
"JhI-21","FBgn0028425","Secondary Transporter","The Amino Acid-Polyamine-Organocation (APC) Family","",""
"JYalpha","FBgn0267363","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"kar","FBgn0001296","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"kcc","FBgn0261794","Secondary Transporter","The Cation-Chloride Cotransporter (CCC) Family","",""
"KCNQ","FBgn0033494","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"l(2)03659","FBgn0010549","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"Lcch3","FBgn0010240","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"List","FBgn0034381","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"Mct1","FBgn0023549","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"Mdr49","FBgn0004512","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"Mdr50","FBgn0010241","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"Mdr65","FBgn0004513","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"meigo","FBgn0250820","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"mfrn","FBgn0039561","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"MFS1","FBgn0050272","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"MFS10","FBgn0030452","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"MFS12","FBgn0033234","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"MFS14","FBgn0010651","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"MFS15","FBgn0034392","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"MFS16","FBgn0034611","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"MFS17","FBgn0058263","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"MFS18","FBgn0025684","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"MFS3","FBgn0031307","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"MFS9","FBgn0038799","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"mnd","FBgn0002778","Secondary Transporter","The Amino Acid-Polyamine-Organocation (APC) Family","",""
"Mpcp","FBgn0026409","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"MRP","FBgn0032456","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"Mrp4","FBgn0263316","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"Mvl","FBgn0011672","Secondary Transporter","The Metal Ion (Mn2+-iron) Transporter (Nramp) Family","",""
"na","FBgn0002917","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"NAAT1","FBgn0029762","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"nac","FBgn0265351","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"Nach","FBgn0024319","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"nAChRalpha1","FBgn0000036","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"nAChRalpha2","FBgn0000039","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"nAChRalpha3","FBgn0015519","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"nAChRalpha4","FBgn0266347","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"nAChRalpha5","FBgn0028875","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"nAChRalpha6","FBgn0032151","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"nAChRalpha7","FBgn0086778","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"nAChRbeta1","FBgn0000038","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"nAChRbeta2","FBgn0004118","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"nAChRbeta3","FBgn0031261","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"NaCP60E","FBgn0085434","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"nan","FBgn0036414","Ion Channels","The Transient Receptor Potential Ca2+ Channel (TRP-CC) Family","",""
"NaPi-III","FBgn0260795","Secondary Transporter","The Inorganic Phosphate Transporter (PiT) Family","",""
"NaPi-T","FBgn0016684","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"Ncc69","FBgn0036279","Secondary Transporter","The Cation-Chloride Cotransporter (CCC) Family","",""
"Nckx30C","FBgn0028704","Secondary Transporter","The Ca2+:Cation Antiporter (CaCA) Family","",""
"Ndae1","FBgn0259111","Secondary Transporter","The Anion Exchanger (AE) Family","",""
"Nha1","FBgn0031865","Secondary Transporter","The Monovalent Cation:Proton Antiporter-1 (CPA1) Family","",""
"Nha2","FBgn0263390","Secondary Transporter","The Monovalent Cation:Proton Antiporter-1 (CPA1) Family","",""
"Nhe1","FBgn0026787","Secondary Transporter","The Monovalent Cation:Proton Antiporter-1 (CPA1) Family","",""
"Nhe2","FBgn0040297","Secondary Transporter","The Monovalent Cation:Proton Antiporter-1 (CPA1) Family","",""
"Nhe3","FBgn0028703","Secondary Transporter","The Monovalent Cation:Proton Antiporter-1 (CPA1) Family","",""
"Nmdar1","FBgn0010399","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Nmdar2","FBgn0053513","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"Npc1a","FBgn0024320","Secondary Transporter","The Resistance-Nodulation-Cell Division (RND) Superfamily","",""
"Npc1b","FBgn0261675","Secondary Transporter","The Resistance-Nodulation-Cell Division (RND) Superfamily","",""
"nrv1","FBgn0015776","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"nrv2","FBgn0015777","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"nrv3","FBgn0032946","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"Ntl","FBgn0267326","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"NtR","FBgn0029147","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"Oatp26F","FBgn0051634","Secondary Transporter","The Organo Anion Transporter (OAT) Family","",""
"Oatp30B","FBgn0032123","Secondary Transporter","The Organo Anion Transporter (OAT) Family","",""
"Oatp33Ea","FBgn0032433","Secondary Transporter","The Organo Anion Transporter (OAT) Family","",""
"Oatp33Eb","FBgn0032435","Secondary Transporter","The Organo Anion Transporter (OAT) Family","",""
"Oatp58Da","FBgn0050277","Secondary Transporter","The Organo Anion Transporter (OAT) Family","",""
"Oatp58Db","FBgn0034715","Secondary Transporter","The Organo Anion Transporter (OAT) Family","",""
"Oatp58Dc","FBgn0034716","Secondary Transporter","The Organo Anion Transporter (OAT) Family","",""
"Oatp74D","FBgn0036732","Secondary Transporter","The Organo Anion Transporter (OAT) Family","",""
"ogre","FBgn0004646","Ion Channels","The Gap Junction-forming Innexin (Innexin) Family","",""
"Orct","FBgn0019952","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"Orct2","FBgn0086365","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"Ork1","FBgn0017561","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"ort","FBgn0003011","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"out","FBgn0259834","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"Papst2","FBgn0036695","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"para","FBgn0264255","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"path","FBgn0036007","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"Pex12","FBgn0031282","Unclassified","The Peroxisomal Protein Importer (PPI) Family","",""
"Pex13","FBgn0033812","Unclassified","The Peroxisomal Protein Importer (PPI) Family","",""
"Pex14","FBgn0037020","Unclassified","The Peroxisomal Protein Importer (PPI) Family","",""
"Pex5","FBgn0023516","Unclassified","The Peroxisomal Protein Importer (PPI) Family","",""
"Pex7","FBgn0035922","Unclassified","The Peroxisomal Protein Importer (PPI) Family","",""
"pHCl","FBgn0264908","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"Picot","FBgn0024315","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"Pkd2","FBgn0041195","Ion Channels","The Polycystin Cation Channel (PCC) Family","",""
"PMCA","FBgn0259214","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"PMP34","FBgn0052250","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Pmp70","FBgn0031069","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"polyph","FBgn0033572","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"ppk","FBgn0020258","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk11","FBgn0065109","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk12","FBgn0034730","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk13","FBgn0053508","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk14","FBgn0031803","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk15","FBgn0039424","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk16","FBgn0065108","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk18","FBgn0265001","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk19","FBgn0039679","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk20","FBgn0039676","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk21","FBgn0039675","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk22","FBgn0051105","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk23","FBgn0030844","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk24","FBgn0039839","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk25","FBgn0053349","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk26","FBgn0035785","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk28","FBgn0030795","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk3","FBgn0050181","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk30","FBgn0039677","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk31","FBgn0051065","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk6","FBgn0034489","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk7","FBgn0031802","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk8","FBgn0052792","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"ppk9","FBgn0085398","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"Prestin","FBgn0036770","Secondary Transporter","The Sulfate Permease (SulP) Family","",""
"prt","FBgn0043005","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"ptc","FBgn0003892","Secondary Transporter","The Resistance-Nodulation-Cell Division (RND) Superfamily","",""
"Ptr","FBgn0262867","Secondary Transporter","The Resistance-Nodulation-Cell Division (RND) Superfamily","",""
"RAF2","FBgn0036624","Ion Channels","The Annexin (Annexin) Family","",""
"Rdl","FBgn0004244","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"Rh50","FBgn0028699","Ion Channels","The Ammonia Transporter Channel (Amt) Family","",""
"Rim2","FBgn0031359","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"rpk","FBgn0022981","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"rtet","FBgn0028468","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"RyR","FBgn0011286","Ion Channels","The Ryanodine-Inositol 1,4,5-triphosphate Receptor Ca2+ Channel (RIR-CaC) Family","",""
"salt","FBgn0039872","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"sea","FBgn0037912","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Sec61alpha","FBgn0086357","ATP-Dependent","The Type II (General) Secretory Pathway (IISP) Family","",""
"sei","FBgn0003353","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"SerT","FBgn0010414","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"sesB","FBgn0003360","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Sh","FBgn0003380","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Shab","FBgn0262593","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"shakB","FBgn0085387","Ion Channels","The Gap Junction-forming Innexin (Innexin) Family","",""
"Shal","FBgn0005564","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Shaw","FBgn0003386","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Shawl","FBgn0085395","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Shawn","FBgn0031039","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"SK","FBgn0029761","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Slc45-1","FBgn0035968","Secondary Transporter","The Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family","",""
"SLC5A11","FBgn0031998","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"slif","FBgn0037203","Secondary Transporter","The Amino Acid-Polyamine-Organocation (APC) Family","",""
"sll","FBgn0038524","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"Sln","FBgn0033657","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"slo","FBgn0003429","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Smvt","FBgn0039873","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"spag","FBgn0015544","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"spin","FBgn0086676","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"SPoCk","FBgn0052451","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
